North America Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,0.34
1911,-0.05
1912,-0.28
1913,-1.42
1914,1.09
1915,0.06
1916,-0.60
1917,-1.85
1918,-0.17
1919,-1.96
1920,0.15
1921,0.49
1922,0.07
1923,0.02
1924,0.44
1925,-1.92
1926,0.30
1927,0.39
1928,0.07
1929,0.53
1930,-0.88
1931,1.19
1932,-0.84
1933,-0.65
1934,0.75
1935,-0.49
1936,-0.82
1937,0.27
1938,1.63
1939,-0.75
1940,0.97
1941,0.35
1942,0.82
1943,0.76
1944,0.98
1945,0.17
1946,-0.09
1947,2.03
1948,0.35
1949,0.01
1950,0.48
1951,-0.66
1952,-0.05
1953,0.95
1954,0.48
1955,0.45
1956,-0.07
1957,-0.45
1958,0.09
1959,-0.97
1960,0.44
1961,-0.54
1962,1.19
1963,2.16
1964,0.12
1965,-0.08
1966,-0.57
1967,-0.17
1968,0.46
1969,-0.80
1970,-0.62
1971,0.41
1972,-1.17
1973,0.83
1974,-0.66
1975,0.08
1976,-1.31
1977,0.44
1978,-0.16
1979,0.64
1980,-0.03
1981,-0.45
1982,-0.29
1983,0.10
1984,-0.39
1985,-0.35
1986,-0.15
1987,0.05
1988,-0.23
1989,0.09
1990,-0.45
1991,-0.54
1992,-0.25
1993,-0.26
1994,0.58
1995,0.31
1996,-0.99
1997,-0.41
1998,0.86
1999,-0.05
2000,0.43
2001,0.11
2002,-0.72
2003,1.61
2004,0.66
2005,1.07
2006,0.22
2007,1.07
2008,0.33
2009,-0.77
2010,1.59
2011,1.34
2012,0.10
2013,0.85
2014,1.30
2015,1.45
2016,1.35
2017,1.23
2018,-0.07
