Oceania Temperature Anomalies, October
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
1910,-1.19
1911,-0.17
1912,0.01
1913,0.07
1914,0.74
1915,-0.20
1916,-0.84
1917,-0.41
1918,-0.07
1919,-0.16
1920,-0.02
1921,-0.67
1922,0.15
1923,-0.72
1924,-0.37
1925,-0.63
1926,0.37
1927,0.18
1928,0.23
1929,-0.56
1930,-0.10
1931,-1.08
1932,-0.78
1933,-0.07
1934,-0.57
1935,0.04
1936,0.02
1937,0.48
1938,0.66
1939,-0.83
1940,0.83
1941,-0.73
1942,-0.35
1943,-0.11
1944,-0.03
1945,-0.76
1946,-0.81
1947,-0.91
1948,-0.10
1949,-0.40
1950,-0.92
1951,-0.26
1952,-0.56
1953,-0.14
1954,-0.08
1955,-0.22
1956,-1.11
1957,0.44
1958,-0.35
1959,0.10
1960,0.21
1961,1.00
1962,-0.09
1963,0.14
1964,-1.11
1965,0.62
1966,-0.95
1967,1.42
1968,-0.15
1969,0.75
1970,0.43
1971,0.45
1972,0.38
1973,0.49
1974,-0.33
1975,-0.91
1976,-0.81
1977,0.84
1978,-0.35
1979,0.24
1980,0.58
1981,0.28
1982,-0.32
1983,0.82
1984,0.23
1985,-0.07
1986,-0.40
1987,0.79
1988,2.03
1989,0.77
1990,0.75
1991,1.35
1992,-0.22
1993,-0.25
1994,0.65
1995,0.23
1996,0.77
1997,0.73
1998,1.02
1999,0.89
2000,0.06
2001,-0.64
2002,1.08
2003,-0.08
2004,1.71
2005,1.38
2006,1.51
2007,1.44
2008,1.69
2009,0.79
2010,-0.03
2011,0.86
2012,1.00
2013,1.49
2014,2.10
2015,2.81
2016,0.28
2017,1.70
2018,2.01
